participant_id,cue,response,response_type,semantic_category,affective_valence
P12,Dog,Cat,paradigmatic,taxonomic,neutral
P12,Sanskar,Obedient,syntagmatic,emotional,positive
P12,Chashma,Glasses,paradigmatic,taxonomic,neutral
P12,Mauka,Run,encyclopedic,cultural,neutral
P12,Salt,Pepper,syntagmatic,functional,neutral
P13,Blessing,Parents,syntagmatic,cultural,positive
P13,Cloud,Sky,syntagmatic,perceptual,neutral
P13,Time,Seconds,paradigmatic,taxonomic,neutral
P13,Glasses,Beer,encyclopedic,cultural,neutral
P13,Mauka,Chauka,encyclopedic,cultural,positive
P13,Neighbourhood,Gossip,syntagmatic,functional,negative
P13,Salt,Pepper,syntagmatic,functional,neutral
P13,Kutta,Kamina- stray,encyclopedic,cultural,negative
P13,Samay,Kimmat,encyclopedic,cultural,positive
P13,Shyness,Vinit,encyclopedic,cultural,neutral
P13,Dog,Oreo,encyclopedic,cultural,neutral
P13,Chashma,Broken,syntagmatic,perceptual,negative
P13,Mohalla,Aunty,encyclopedic,cultural,neutral
P13,Opportunity,Golden,syntagmatic,emotional,positive
P13,Values,Inherent,syntagmatic,functional,positive
P13,Namak,Chini,paradigmatic,taxonomic,neutral
P13,Aashirwad,Dada dadi,syntagmatic,cultural,positive
P13,Sharam,Lajja,paradigmatic,emotional,negative
P13,Sanskar,Gharwale,syntagmatic,cultural,positive
P13,Baadal,Chawn,syntagmatic,perceptual,neutral
P14,Blessing,Kripa,paradigmatic,taxonomic,positive
P14,Cloud,Badal,paradigmatic,taxonomic,neutral
P14,Time,Watch,syntagmatic,functional,neutral
P14,Glasses,Water,encyclopedic,functional,neutral
P14,Mauka,Parast,encyclopedic,cultural,negative
P14,Neighbourhood,House,syntagmatic,functional,neutral
P14,Salt,Pepper,syntagmatic,functional,neutral
P14,Kutta,Billi,paradigmatic,taxonomic,neutral
P14,Samay,Time,paradigmatic,taxonomic,neutral
P14,Shyness,Timid,paradigmatic,emotional,neutral
P14,Dog,Domestic,paradigmatic,taxonomic,neutral
P14,Chashma,Glass,paradigmatic,taxonomic,neutral
P14,Mohalla,Neighbourhood,paradigmatic,taxonomic,neutral
P14,Opportunity,Chance,paradigmatic,taxonomic,positive
P14,Values,Moral,paradigmatic,taxonomic,positive
P14,Namak,Tata,encyclopedic,cultural,neutral
P14,Aashirwad,Aata,encyclopedic,cultural,positive
P14,Sharam,Lihaj,paradigmatic,cultural,neutral
P14,Sanskar,Values,paradigmatic,taxonomic,positive
P14,Baadal,Pani,syntagmatic,perceptual,neutral
P15,Blessing,Ashirwad,paradigmatic,taxonomic,positive
P15,Cloud,Nine,encyclopedic,cultural,neutral
P15,Time,Slot,syntagmatic,functional,neutral
P15,Glasses,Chashma,paradigmatic,taxonomic,neutral
P15,Mauka,Parast,encyclopedic,cultural,negative
P15,Neighbourhood,Padosi,paradigmatic,taxonomic,neutral
P15,Salt,Pepper,syntagmatic,functional,neutral
P15,Kutta,Billi,paradigmatic,taxonomic,neutral
P15,Samay,Raina,encyclopedic,cultural,neutral
P15,Shyness,Bhola,syntagmatic,emotional,positive
P15,Dog,Cat,paradigmatic,taxonomic,neutral
P15,Chashma,Nazar,syntagmatic,functional,neutral
P15,Mohalla,Sheher,syntagmatic,functional,neutral
P15,Opportunity,Mauka,paradigmatic,taxonomic,positive
P15,Values,Kimat,syntagmatic,functional,positive
